Source,Target
Action,"[""Chris Pratt"",""Vin Diesel"",""Bradley Cooper"",""Zoe Saldana""]"
Action,"[""Chris Pratt"",""Vin Diesel"",""Bradley Cooper"",""Zoe Saldana""]"
Action,"[""Chris Pratt"",""Vin Diesel"",""Bradley Cooper"",""Zoe Saldana""]"
Action,"[""Chris Pratt"",""Vin Diesel"",""Bradley Cooper"",""Zoe Saldana""]"
Action,"[""Will Smith"",""Jared Leto"",""Margot Robbie"",""Viola Davis""]"
Action,"[""Will Smith"",""Jared Leto"",""Margot Robbie"",""Viola Davis""]"
Action,"[""Will Smith"",""Jared Leto"",""Margot Robbie"",""Viola Davis""]"
Action,"[""Will Smith"",""Jared Leto"",""Margot Robbie"",""Viola Davis""]"
Action,"[""Matt Damon"",""Tian Jing"",""Willem Dafoe"",""Andy Lau""]"
Action,"[""Matt Damon"",""Tian Jing"",""Willem Dafoe"",""Andy Lau""]"
Action,"[""Matt Damon"",""Tian Jing"",""Willem Dafoe"",""Andy Lau""]"
Action,"[""Matt Damon"",""Tian Jing"",""Willem Dafoe"",""Andy Lau""]"
Action,"[""Charlie Hunnam"",""Robert Pattinson"",""Sienna Miller"",""Tom Holland""]"
Action,"[""Charlie Hunnam"",""Robert Pattinson"",""Sienna Miller"",""Tom Holland""]"
Action,"[""Charlie Hunnam"",""Robert Pattinson"",""Sienna Miller"",""Tom Holland""]"
Action,"[""Charlie Hunnam"",""Robert Pattinson"",""Sienna Miller"",""Tom Holland""]"
Action,"[""Felicity Jones"",""Diego Luna"",""Alan Tudyk"",""Donnie Yen""]"
Action,"[""Felicity Jones"",""Diego Luna"",""Alan Tudyk"",""Donnie Yen""]"
Action,"[""Felicity Jones"",""Diego Luna"",""Alan Tudyk"",""Donnie Yen""]"
Action,"[""Felicity Jones"",""Diego Luna"",""Alan Tudyk"",""Donnie Yen""]"
Action,"[""Anne Hathaway"",""Jason Sudeikis"",""Austin Stowell"",""Tim Blake Nelson""]"
Action,"[""Anne Hathaway"",""Jason Sudeikis"",""Austin Stowell"",""Tim Blake Nelson""]"
Action,"[""Anne Hathaway"",""Jason Sudeikis"",""Austin Stowell"",""Tim Blake Nelson""]"
Action,"[""Anne Hathaway"",""Jason Sudeikis"",""Austin Stowell"",""Tim Blake Nelson""]"
Action,"[""Matt Damon"",""Tommy Lee Jones"",""Alicia Vikander"",""Vincent Cassel""]"
Action,"[""Matt Damon"",""Tommy Lee Jones"",""Alicia Vikander"",""Vincent Cassel""]"
Action,"[""Matt Damon"",""Tommy Lee Jones"",""Alicia Vikander"",""Vincent Cassel""]"
Action,"[""Matt Damon"",""Tommy Lee Jones"",""Alicia Vikander"",""Vincent Cassel""]"
Action,"[""Liam Hemsworth"",""Jeff Goldblum"",""Bill Pullman"",""Maika Monroe""]"
Action,"[""Liam Hemsworth"",""Jeff Goldblum"",""Bill Pullman"",""Maika Monroe""]"
Action,"[""Liam Hemsworth"",""Jeff Goldblum"",""Bill Pullman"",""Maika Monroe""]"
Action,"[""Liam Hemsworth"",""Jeff Goldblum"",""Bill Pullman"",""Maika Monroe""]"
Action,"[""Prabhas"",""Rana Daggubati"",""Anushka Shetty"",""Tamannaah Bhatia""]"
Action,"[""Prabhas"",""Rana Daggubati"",""Anushka Shetty"",""Tamannaah Bhatia""]"
Action,"[""Prabhas"",""Rana Daggubati"",""Anushka Shetty"",""Tamannaah Bhatia""]"
Action,"[""Prabhas"",""Rana Daggubati"",""Anushka Shetty"",""Tamannaah Bhatia""]"
Action,"[""Michael Fassbender"",""Marion Cotillard"",""Jeremy Irons"",""Brendan Gleeson""]"
Action,"[""Michael Fassbender"",""Marion Cotillard"",""Jeremy Irons"",""Brendan Gleeson""]"
Action,"[""Michael Fassbender"",""Marion Cotillard"",""Jeremy Irons"",""Brendan Gleeson""]"
Action,"[""Michael Fassbender"",""Marion Cotillard"",""Jeremy Irons"",""Brendan Gleeson""]"
Action,"[""James McAvoy"",""Michael Fassbender"",""Jennifer Lawrence"",""Nicholas Hoult""]"
Action,"[""James McAvoy"",""Michael Fassbender"",""Jennifer Lawrence"",""Nicholas Hoult""]"
Action,"[""James McAvoy"",""Michael Fassbender"",""Jennifer Lawrence"",""Nicholas Hoult""]"
Action,"[""James McAvoy"",""Michael Fassbender"",""Jennifer Lawrence"",""Nicholas Hoult""]"
Action,"[""Ryan Reynolds"",""Morena Baccarin"",""T.J. Miller"",""Ed Skrein""]"
Action,"[""Ryan Reynolds"",""Morena Baccarin"",""T.J. Miller"",""Ed Skrein""]"
Action,"[""Ryan Reynolds"",""Morena Baccarin"",""T.J. Miller"",""Ed Skrein""]"
Action,"[""Ryan Reynolds"",""Morena Baccarin"",""T.J. Miller"",""Ed Skrein""]"
Action,"[""Milla Jovovich"",""Iain Glen"",""Ali Larter"",""Shawn Roberts""]"
Action,"[""Milla Jovovich"",""Iain Glen"",""Ali Larter"",""Shawn Roberts""]"
Action,"[""Milla Jovovich"",""Iain Glen"",""Ali Larter"",""Shawn Roberts""]"
Action,"[""Milla Jovovich"",""Iain Glen"",""Ali Larter"",""Shawn Roberts""]"
Action,"[""Chris Evans"",""Robert Downey Jr."",""Scarlett Johansson"",""Sebastian Stan""]"
Action,"[""Chris Evans"",""Robert Downey Jr."",""Scarlett Johansson"",""Sebastian Stan""]"
Action,"[""Chris Evans"",""Robert Downey Jr."",""Scarlett Johansson"",""Sebastian Stan""]"
Action,"[""Chris Evans"",""Robert Downey Jr."",""Scarlett Johansson"",""Sebastian Stan""]"
Action,"[""Benedict Cumberbatch"",""Chiwetel Ejiofor"",""Rachel McAdams"",""Benedict Wong""]"
Action,"[""Benedict Cumberbatch"",""Chiwetel Ejiofor"",""Rachel McAdams"",""Benedict Wong""]"
Action,"[""Benedict Cumberbatch"",""Chiwetel Ejiofor"",""Rachel McAdams"",""Benedict Wong""]"
Action,"[""Benedict Cumberbatch"",""Chiwetel Ejiofor"",""Rachel McAdams"",""Benedict Wong""]"
Action,"[""Denzel Washington"",""Chris Pratt"",""Ethan Hawke"",""Vincent D'Onofrio""]"
Action,"[""Denzel Washington"",""Chris Pratt"",""Ethan Hawke"",""Vincent D'Onofrio""]"
Action,"[""Denzel Washington"",""Chris Pratt"",""Ethan Hawke"",""Vincent D'Onofrio""]"
Action,"[""Denzel Washington"",""Chris Pratt"",""Ethan Hawke"",""Vincent D'Onofrio""]"
Action,"[""Johnny Depp"",""Pen̩lope Cruz"",""Ian McShane"",""Geoffrey Rush""]"
Action,"[""Johnny Depp"",""Pen̩lope Cruz"",""Ian McShane"",""Geoffrey Rush""]"
Action,"[""Johnny Depp"",""Pen̩lope Cruz"",""Ian McShane"",""Geoffrey Rush""]"
Action,"[""Johnny Depp"",""Pen̩lope Cruz"",""Ian McShane"",""Geoffrey Rush""]"
Action,"[""Chris Pine"",""Zachary Quinto"",""Karl Urban"",""Zoe Saldana""]"
Action,"[""Chris Pine"",""Zachary Quinto"",""Karl Urban"",""Zoe Saldana""]"
Action,"[""Chris Pine"",""Zachary Quinto"",""Karl Urban"",""Zoe Saldana""]"
Action,"[""Chris Pine"",""Zachary Quinto"",""Karl Urban"",""Zoe Saldana""]"
Action,"[""Daisy Ridley"",""John Boyega"",""Oscar Isaac"",""Domhnall Gleeson""]"
Action,"[""Daisy Ridley"",""John Boyega"",""Oscar Isaac"",""Domhnall Gleeson""]"
Action,"[""Daisy Ridley"",""John Boyega"",""Oscar Isaac"",""Domhnall Gleeson""]"
Action,"[""Daisy Ridley"",""John Boyega"",""Oscar Isaac"",""Domhnall Gleeson""]"
Action,"[""Kate Beckinsale"",""Theo James"",""Tobias Menzies"",""Lara Pulver""]"
Action,"[""Kate Beckinsale"",""Theo James"",""Tobias Menzies"",""Lara Pulver""]"
Action,"[""Kate Beckinsale"",""Theo James"",""Tobias Menzies"",""Lara Pulver""]"
Action,"[""Kate Beckinsale"",""Theo James"",""Tobias Menzies"",""Lara Pulver""]"
Action,"[""Keanu Reeves"",""Michael Nyqvist"",""Alfie Allen"",""Willem Dafoe""]"
Action,"[""Keanu Reeves"",""Michael Nyqvist"",""Alfie Allen"",""Willem Dafoe""]"
Action,"[""Keanu Reeves"",""Michael Nyqvist"",""Alfie Allen"",""Willem Dafoe""]"
Action,"[""Keanu Reeves"",""Michael Nyqvist"",""Alfie Allen"",""Willem Dafoe""]"
Action,"[""Christian Bale"",""Heath Ledger"",""Aaron Eckhart"",""Michael Caine""]"
Action,"[""Christian Bale"",""Heath Ledger"",""Aaron Eckhart"",""Michael Caine""]"
Action,"[""Christian Bale"",""Heath Ledger"",""Aaron Eckhart"",""Michael Caine""]"
Action,"[""Christian Bale"",""Heath Ledger"",""Aaron Eckhart"",""Michael Caine""]"
Action,"[""Ben Affleck"",""Henry Cavill"",""Amy Adams"",""Jesse Eisenberg""]"
Action,"[""Ben Affleck"",""Henry Cavill"",""Amy Adams"",""Jesse Eisenberg""]"
Action,"[""Ben Affleck"",""Henry Cavill"",""Amy Adams"",""Jesse Eisenberg""]"
Action,"[""Ben Affleck"",""Henry Cavill"",""Amy Adams"",""Jesse Eisenberg""]"
Action,"[""Colin Firth"",""Taron Egerton"",""Samuel L. Jackson"",""Michael Caine""]"
Action,"[""Colin Firth"",""Taron Egerton"",""Samuel L. Jackson"",""Michael Caine""]"
Action,"[""Colin Firth"",""Taron Egerton"",""Samuel L. Jackson"",""Michael Caine""]"
Action,"[""Colin Firth"",""Taron Egerton"",""Samuel L. Jackson"",""Michael Caine""]"
Action,"[""Tom Hardy"",""Charlize Theron"",""Nicholas Hoult"",""Zo�� Kravitz""]"
Action,"[""Tom Hardy"",""Charlize Theron"",""Nicholas Hoult"",""Zo�� Kravitz""]"
Action,"[""Tom Hardy"",""Charlize Theron"",""Nicholas Hoult"",""Zo�� Kravitz""]"
Action,"[""Tom Hardy"",""Charlize Theron"",""Nicholas Hoult"",""Zo�� Kravitz""]"
Action,"[""Mark Wahlberg"",""Kurt Russell"",""Douglas M. Griffin"",""James DuMont""]"
Action,"[""Mark Wahlberg"",""Kurt Russell"",""Douglas M. Griffin"",""James DuMont""]"
Action,"[""Mark Wahlberg"",""Kurt Russell"",""Douglas M. Griffin"",""James DuMont""]"
Action,"[""Mark Wahlberg"",""Kurt Russell"",""Douglas M. Griffin"",""James DuMont""]"
Action,"[""Brad Pitt"",""Marion Cotillard"",""Jared Harris"",""Vincent Ebrahim""]"
Action,"[""Brad Pitt"",""Marion Cotillard"",""Jared Harris"",""Vincent Ebrahim""]"
Action,"[""Brad Pitt"",""Marion Cotillard"",""Jared Harris"",""Vincent Ebrahim""]"
Action,"[""Brad Pitt"",""Marion Cotillard"",""Jared Harris"",""Vincent Ebrahim""]"
Action,"[""Johnny Depp"",""Orlando Bloom"",""Keira Knightley"",""Geoffrey Rush""]"
Action,"[""Johnny Depp"",""Orlando Bloom"",""Keira Knightley"",""Geoffrey Rush""]"
Action,"[""Johnny Depp"",""Orlando Bloom"",""Keira Knightley"",""Geoffrey Rush""]"
Action,"[""Johnny Depp"",""Orlando Bloom"",""Keira Knightley"",""Geoffrey Rush""]"
Action,"[""Robert Downey Jr."",""Chris Evans"",""Scarlett Johansson"",""Jeremy Renner""]"
Action,"[""Robert Downey Jr."",""Chris Evans"",""Scarlett Johansson"",""Jeremy Renner""]"
Action,"[""Robert Downey Jr."",""Chris Evans"",""Scarlett Johansson"",""Jeremy Renner""]"
Action,"[""Robert Downey Jr."",""Chris Evans"",""Scarlett Johansson"",""Jeremy Renner""]"
Action,"[""Johnny Depp"",""Orlando Bloom"",""Keira Knightley"",""Jack Davenport""]"
Action,"[""Johnny Depp"",""Orlando Bloom"",""Keira Knightley"",""Jack Davenport""]"
Action,"[""Johnny Depp"",""Orlando Bloom"",""Keira Knightley"",""Jack Davenport""]"
Action,"[""Johnny Depp"",""Orlando Bloom"",""Keira Knightley"",""Jack Davenport""]"
Action,"[""Melissa McCarthy"",""Kristen Wiig"",""Kate McKinnon"",""Leslie Jones""]"
Action,"[""Melissa McCarthy"",""Kristen Wiig"",""Kate McKinnon"",""Leslie Jones""]"
Action,"[""Melissa McCarthy"",""Kristen Wiig"",""Kate McKinnon"",""Leslie Jones""]"
Action,"[""Melissa McCarthy"",""Kristen Wiig"",""Kate McKinnon"",""Leslie Jones""]"
Action,"[""Leonardo DiCaprio"",""Joseph Gordon-Levitt"",""Ellen Page"",""Ken Watanabe""]"
Action,"[""Leonardo DiCaprio"",""Joseph Gordon-Levitt"",""Ellen Page"",""Ken Watanabe""]"
Action,"[""Leonardo DiCaprio"",""Joseph Gordon-Levitt"",""Ellen Page"",""Ken Watanabe""]"
Action,"[""Leonardo DiCaprio"",""Joseph Gordon-Levitt"",""Ellen Page"",""Ken Watanabe""]"
Action,"[""Vin Diesel"",""Paul Walker"",""Dwayne Johnson"",""Jason Statham""]"
Action,"[""Vin Diesel"",""Paul Walker"",""Dwayne Johnson"",""Jason Statham""]"
Action,"[""Vin Diesel"",""Paul Walker"",""Dwayne Johnson"",""Jason Statham""]"
Action,"[""Vin Diesel"",""Paul Walker"",""Dwayne Johnson"",""Jason Statham""]"
Action,"[""Chris Pratt"",""Bryce Dallas Howard"",""Ty Simpkins"",""Judy Greer""]"
Action,"[""Chris Pratt"",""Bryce Dallas Howard"",""Ty Simpkins"",""Judy Greer""]"
Action,"[""Chris Pratt"",""Bryce Dallas Howard"",""Ty Simpkins"",""Judy Greer""]"
Action,"[""Chris Pratt"",""Bryce Dallas Howard"",""Ty Simpkins"",""Judy Greer""]"
Action,"[""Sam Worthington"",""Zoe Saldana"",""Sigourney Weaver"",""Michelle Rodriguez""]"
Action,"[""Sam Worthington"",""Zoe Saldana"",""Sigourney Weaver"",""Michelle Rodriguez""]"
