Id,Label
Guardians of the Galaxy,Guardians of the Galaxy
Prometheus,Prometheus
Bahubali: The Beginning,Bahubali: The Beginning
Interstellar,Interstellar
5/25/77,5/25/77
Pirates of the Caribbean: On Stranger Tides,Pirates of the Caribbean: On Stranger Tides
Star Wars: Episode VII - The Force Awakens,Star Wars: Episode VII - The Force Awakens
John Wick,John Wick
The Dark Knight,The Dark Knight
Fifty Shades of Grey,Fifty Shades of Grey
The Prestige,The Prestige
Kingsman: The Secret Service,Kingsman: The Secret Service
Mad Max: Fury Road,Mad Max: Fury Road
Pirates of the Caribbean: At World's End,Pirates of the Caribbean: At World's End
The Avengers,The Avengers
Inglourious Basterds,Inglourious Basterds
Pirates of the Caribbean: Dead Man's Chest,Pirates of the Caribbean: Dead Man's Chest
Inception,Inception
The Wolf of Wall Street,The Wolf of Wall Street
Gone Girl,Gone Girl
Furious Seven,Furious Seven
Jurassic World,Jurassic World
Avatar,Avatar
The Hateful Eight,The Hateful Eight
Prisoners,Prisoners
The Help,The Help
Avengers: Age of Ultron,Avengers: Age of Ultron
The Departed,The Departed
Legend,Legend
Thor,Thor
The Martian,The Martian
The Man from U.N.C.L.E.,The Man from U.N.C.L.E.
Ex Machina,Ex Machina
12 Years a Slave,12 Years a Slave
300,300
Harry Potter and the Deathly Hallows: Part 2,Harry Potter and the Deathly Hallows: Part 2
Divergent,Divergent
The Dark Knight Rises,The Dark Knight Rises
Transformers: Age of Extinction,Transformers: Age of Extinction
Mamma Mia!,Mamma Mia!
The Revenant,The Revenant
Into the Woods,Into the Woods
Whiplash,Whiplash
Furious 6,Furious 6
The Place Beyond the Pines,The Place Beyond the Pines
No Country for Old Men,No Country for Old Men
The Great Gatsby,The Great Gatsby
Shutter Island,Shutter Island
Star Trek,Star Trek
Diary of a Wimpy Kid,Diary of a Wimpy Kid
The Big Short,The Big Short
Room,Room
Django Unchained,Django Unchained
Watchmen,Watchmen
Superbad,Superbad
The Hunger Games,The Hunger Games
Sicario,Sicario
Twin Peaks: The Missing Pieces,Twin Peaks: The Missing Pieces
Aliens vs Predator - Requiem,Aliens vs Predator - Requiem
Pacific Rim,Pacific Rim
"Crazy, Stupid, Love.","Crazy, Stupid, Love."
Scott Pilgrim vs. the World,Scott Pilgrim vs. the World
Hot Fuzz,Hot Fuzz
X-Men: Days of Future Past,X-Men: Days of Future Past
Casino Royale,Casino Royale
Twilight,Twilight
Woman in Gold,Woman in Gold
Spectre,Spectre
Nightcrawler,Nightcrawler
Her,Her
Frozen,Frozen
Tomorrowland,Tomorrowland
Dawn of the Planet of the Apes,Dawn of the Planet of the Apes
Tropic Thunder,Tropic Thunder
Ant-Man,Ant-Man
The VVitch: A New-England Folktale,The VVitch: A New-England Folktale
Cinderella,Cinderella
Love,Love
Crimson Peak,Crimson Peak
Drive,Drive
Trainwreck,Trainwreck
Spotlight,Spotlight
Warrior,Warrior
Captain America: The First Avenger,Captain America: The First Avenger
Into the Wild,Into the Wild
The Imitation Game,The Imitation Game
Edge of Tomorrow,Edge of Tomorrow
Iron Man,Iron Man
X: First Class,X: First Class
Bridesmaids,Bridesmaids
San Andreas,San Andreas
Spring Breakers,Spring Breakers
Transformers,Transformers
Old Boy,Old Boy
Thor: The Dark World,Thor: The Dark World
Captain America: The Winter Soldier,Captain America: The Winter Soldier
Kick-Ass,Kick-Ass
Hardcore Henry,Hardcore Henry
Cars,Cars
It Follows,It Follows
The Girl with the Dragon Tattoo,The Girl with the Dragon Tattoo
We're the Millers,We're the Millers
The Lobster,The Lobster
Predators,Predators
Maleficent,Maleficent
Pan's Labyrinth,Pan's Labyrinth
Apocalypto,Apocalypto
Mission: Impossible - Rogue Nation,Mission: Impossible - Rogue Nation
The Perks of Being a Wallflower,The Perks of Being a Wallflower
The Grand Budapest Hotel,The Grand Budapest Hotel
The Host,The Host
Fury,Fury
Inside Out,Inside Out
Terminator Genisys,Terminator Genisys
Percy Jackson & the Olympians: The Lightning Thief,Percy Jackson & the Olympians: The Lightning Thief
Les Misí©rables,Les Misí©rables
Children of Men,Children of Men
Spy,Spy
The Intouchables,The Intouchables
Kynodontas,Kynodontas
Straight Outta Compton,Straight Outta Compton
The Amazing Spider-Man 2,The Amazing Spider-Man 2
The Conjuring,The Conjuring
The Hangover,The Hangover
Battleship,Battleship
Rise of the Planet of the Apes,Rise of the Planet of the Apes
Birdman or (The Unexpected Virtue of Ignorance),Birdman or (The Unexpected Virtue of Ignorance)
Black Swan,Black Swan
Dear White People,Dear White People
Nymphomaniac: Vol. I,Nymphomaniac: Vol. I
Knock Knock,Knock Knock
Cloud Atlas,Cloud Atlas
X-Men Origins: Wolverine,X-Men Origins: Wolverine
Skyfall,Skyfall
The Hobbit: An Unexpected Journey,The Hobbit: An Unexpected Journey
21 Jump Street,21 Jump Street
Oblivion,Oblivion
22 Jump Street,22 Jump Street
Zodiac,Zodiac
Iron Man Three,Iron Man Three
Now You See Me,Now You See Me
Sherlock Holmes,Sherlock Holmes
Death Proof,Death Proof
The Danish Girl,The Danish Girl
Hercules,Hercules
Sucker Punch,Sucker Punch
Jupiter Ascending,Jupiter Ascending
Pitch Perfect,Pitch Perfect
Man of Steel,Man of Steel
The Devil Wears Prada,The Devil Wears Prada
There Will Be Blood,There Will Be Blood
The Equalizer,The Equalizer
Lone Survivor,Lone Survivor
The Cabin in the Woods,The Cabin in the Woods
The House Bunny,The House Bunny
She's Out of My League,She's Out of My League
Inherent Vice,Inherent Vice
The Fast and the Furious: Tokyo Drift,The Fast and the Furious: Tokyo Drift
The Blind Side,The Blind Side
La vie d'AdíÂle,La vie d'AdíÂle
The Babadook,The Babadook
The Hobbit: The Battle of the Five Armies,The Hobbit: The Battle of the Five Armies
Harry Potter and the Order of the Phoenix,Harry Potter and the Order of the Phoenix
Snowpiercer,Snowpiercer
The Visit,The Visit
Fast Five,Fast Five
Step Up,Step Up
RocknRolla,RocknRolla
In Time,In Time
The Social Network,The Social Network
The Last Witch Hunter,The Last Witch Hunter
Victor Frankenstein,Victor Frankenstein
Green Room,Green Room
Blackhat,Blackhat
American Sniper,American Sniper
Dallas Buyers Club,Dallas Buyers Club
Lincoln,Lincoln
Rush,Rush
Silver Linings Playbook,Silver Linings Playbook
The Fault in Our Stars,The Fault in Our Stars
Blended,Blended
Fast & Furious,Fast & Furious
Looper,Looper
White House Down,White House Down
Spider-Man 3,Spider-Man 3
The Three Musketeers,The Three Musketeers
Stardust,Stardust
American Hustle,American Hustle
Jennifer's Body,Jennifer's Body
Midnight in Paris,Midnight in Paris
Joy,Joy
The Dressmaker,The Dressmaker
Insurgent,Insurgent
Seventh Son,Seventh Son
The Theory of Everything,The Theory of Everything
This Is the End,This Is the End
About Time,About Time
Step Brothers,Step Brothers
Clown,Clown
Star Trek Into Darkness,Star Trek Into Darkness
Zombieland,Zombieland
Slumdog Millionaire,Slumdog Millionaire
The Twilight Saga: Breaking Dawn - Part 2,The Twilight Saga: Breaking Dawn - Part 2
The Amazing Spider-Man,The Amazing Spider-Man
The Maze Runner,The Maze Runner
Wanted,Wanted
Black Mass,Black Mass
Creed,Creed
The Expendables 3,The Expendables 3
What We Do in the Shadows,What We Do in the Shadows
Southpaw,Southpaw
Bridge of Spies,Bridge of Spies
The Lego Movie,The Lego Movie
Everest,Everest
Pixels,Pixels
Robin Hood,Robin Hood
The Wolverine,The Wolverine
John Carter,John Carter
The Gunman,The Gunman
Steve Jobs,Steve Jobs
Grown Ups 2,Grown Ups 2
The Age of Adaline,The Age of Adaline
The Incredible Hulk,The Incredible Hulk
Couples Retreat,Couples Retreat
Absolutely Anything,Absolutely Anything
Magic Mike,Magic Mike
Minions,Minions
Bronson,Bronson
Despicable Me,Despicable Me
The Best of Me,The Best of Me
The Invitation,The Invitation
Zero Dark Thirty,Zero Dark Thirty
Tangled,Tangled
The Hunger Games: Mockingjay - Part 2,The Hunger Games: Mockingjay - Part 2
Vacation,Vacation
Taken,Taken
Pitch Perfect 2,Pitch Perfect 2
Monsters University,Monsters University
Tusk,Tusk
Atonement,Atonement
Harry Potter and the Deathly Hallows: Part 1,Harry Potter and the Deathly Hallows: Part 1
Shame,Shame
Hanna,Hanna
The Babysitters,The Babysitters
300: Rise of an Empire,300: Rise of an Empire
The Curious Case of Benjamin Button,The Curious Case of Benjamin Button
Sin City: A Dame to Kill For,Sin City: A Dame to Kill For
The Bourne Ultimatum,The Bourne Ultimatum
Srpski film,Srpski film
3 Idiots,3 Idiots
World War Z,World War Z
Mission: Impossible - Ghost Protocol,Mission: Impossible - Ghost Protocol
Filth,Filth
The Longest Ride,The Longest Ride
The imposible,The imposible
Kick-Ass 2,Kick-Ass 2
Oz the Great and Powerful,Oz the Great and Powerful
Brooklyn,Brooklyn
Coraline,Coraline
Blue Valentine,Blue Valentine
Silent Hill,Silent Hill
Dredd,Dredd
Big Hero 6,Big Hero 6
Carrie,Carrie
Iron Man 2,Iron Man 2
Demolition,Demolition
Pandorum,Pandorum
Olympus Has Fallen,Olympus Has Fallen
I Am Number Four,I Am Number Four
Jagten,Jagten
The Proposal,The Proposal
Get Hard,Get Hard
Just Go with It,Just Go with It
Revolutionary Road,Revolutionary Road
The Town,The Town
Predestination,Predestination
Goosebumps,Goosebumps
Sherlock Holmes: A Game of Shadows,Sherlock Holmes: A Game of Shadows
Salt,Salt
Enemy,Enemy
District 9,District 9
The Other Guys,The Other Guys
American Gangster,American Gangster
Marie Antoinette,Marie Antoinette
2012,2012
Harry Potter and the Half-Blood Prince,Harry Potter and the Half-Blood Prince
Argo,Argo
The Lives of Others,The Lives of Others
Macbeth,Macbeth
Forgetting Sarah Marshall,Forgetting Sarah Marshall
The Giver,The Giver
Moonrise Kingdom,Moonrise Kingdom
Hairspray,Hairspray
Safe Haven,Safe Haven
Focus,Focus
Ratatouille,Ratatouille
Stake Land,Stake Land
The Book of Eli,The Book of Eli
Cloverfield,Cloverfield
Point Break,Point Break
Under the Skin,Under the Skin
I Am Legend,I Am Legend
Men in Black 3,Men in Black 3
Super 8,Super 8
Law Abiding Citizen,Law Abiding Citizen
Up,Up
Maze Runner: The Scorch Trials,Maze Runner: The Scorch Trials
Carol,Carol
Youth,Youth
Mr. Nobody,Mr. Nobody
Savages,Savages
(500) Days of Summer,(500) Days of Summer
Movie 43,Movie 43
Gravity,Gravity
The Boy in the Striped Pyjamas,The Boy in the Striped Pyjamas
Shooter,Shooter
The Happening,The Happening
Bone Tomahawk,Bone Tomahawk
Magic Mike XXL,Magic Mike XXL
Easy A,Easy A
Exodus: Gods and Kings,Exodus: Gods and Kings
Chappie,Chappie
The Hobbit: The Desolation of Smaug,The Hobbit: The Desolation of Smaug
Half of a Yellow Sun,Half of a Yellow Sun
The Counselor,The Counselor
Trust,Trust
Elysium,Elysium
The Green Inferno,The Green Inferno
Godzilla,Godzilla
The Bourne Legacy,The Bourne Legacy
A Good Year,A Good Year
Deja Vu,Deja Vu
Lucy,Lucy
Need for Speed,Need for Speed
Jack Reacher,Jack Reacher
The Ghost Writer,The Ghost Writer
Limitless,Limitless
P.S. I Love You,P.S. I Love You
Zipper,Zipper
Alice in Wonderland,Alice in Wonderland
The Break-Up,The Break-Up
Fantastic Four,Fantastic Four
The Survivalist,The Survivalist
Colonia,Colonia
The Boy Next Door,The Boy Next Door
The Gift,The Gift
Dracula Untold,Dracula Untold
In the Heart of the Sea,In the Heart of the Sea
Idiocracy,Idiocracy
The Expendables,The Expendables
Evil Dead,Evil Dead
Sinister,Sinister
Wreck-It Ralph,Wreck-It Ralph
Snow White and the Huntsman,Snow White and the Huntsman
Pan,Pan
Transformers: Dark of the Moon,Transformers: Dark of the Moon
Juno,Juno
The Other Woman,The Other Woman
Enchanted,Enchanted
The Intern,The Intern
Little Miss Sunshine,Little Miss Sunshine
Clash of the Titans,Clash of the Titans
Tron,Tron
The Hunger Games: Catching Fire,The Hunger Games: Catching Fire
All Good Things,All Good Things
The Last Airbender,The Last Airbender
Sex Tape,Sex Tape
What to Expect When You're Expecting,What to Expect When You're Expecting
Moneyball,Moneyball
Ghost Rider,Ghost Rider
Unbroken,Unbroken
Immortals,Immortals
Sunshine,Sunshine
Brave,Brave
M•À__n som hatar kvinnor,M•À__n som hatar kvinnor
Adoration,Adoration
The Drop,The Drop
She's the Man,She's the Man
Daddy's Home,Daddy's Home
Let Me In,Let Me In
Never Back Down,Never Back Down
Moon,Moon
Megamind,Megamind
Gangster Squad,Gangster Squad
He's Just Not That Into You,He's Just Not That Into You
The Rise of the Krays,The Rise of the Krays
Winter's Bone,Winter's Bone
