Source,Target
Action,Chris Pratt
Action,Vin Diesel
Action,Bradley Cooper
Action,Zoe Saldana
Action,Will Smith
Action,Jared Leto
Action,Margot Robbie
Action,Viola Davis
Action,Matt Damon
Action,Tian Jing
Action,Willem Dafoe
Action,Andy Lau
Action,Charlie Hunnam
Action,Robert Pattinson
Action,Sienna Miller
Action,Tom Holland
Action,Felicity Jones
Action,Diego Luna
Action,Alan Tudyk
Action,Donnie Yen
Action,Anne Hathaway
Action,Jason Sudeikis
Action,Austin Stowell
Action,Tim Blake Nelson
Action,Matt Damon
Action,Tommy Lee Jones
Action,Alicia Vikander
Action,Vincent Cassel
Action,Liam Hemsworth
Action,Jeff Goldblum
Action,Bill Pullman
Action,Maika Monroe
Action,Prabhas
Action,Rana Daggubati
Action,Anushka Shetty
Action,Tamannaah Bhatia
Action,Michael Fassbender
Action,Marion Cotillard
Action,Jeremy Irons
Action,Brendan Gleeson
Action,James McAvoy
Action,Michael Fassbender
Action,Jennifer Lawrence
Action,Nicholas Hoult
Action,Ryan Reynolds
Action,Morena Baccarin
Action,T.J. Miller
Action,Ed Skrein
Action,Milla Jovovich
Action,Iain Glen
Action,Ali Larter
Action,Shawn Roberts
Action,Chris Evans
Action,Robert Downey Jr.
Action,Scarlett Johansson
Action,Sebastian Stan
Action,Benedict Cumberbatch
Action,Chiwetel Ejiofor
Action,Rachel McAdams
Action,Benedict Wong
Action,Denzel Washington
Action,Chris Pratt
Action,Ethan Hawke
Action,Vincent D'Onofrio
Action,Johnny Depp
Action,Pen̩lope Cruz
Action,Ian McShane
Action,Geoffrey Rush
Action,Chris Pine
Action,Zachary Quinto
Action,Karl Urban
Action,Zoe Saldana
Action,Daisy Ridley
Action,John Boyega
Action,Oscar Isaac
Action,Domhnall Gleeson
Action,Kate Beckinsale
Action,Theo James
Action,Tobias Menzies
Action,Lara Pulver
Action,Keanu Reeves
Action,Michael Nyqvist
Action,Alfie Allen
Action,Willem Dafoe
Action,Christian Bale
Action,Heath Ledger
Action,Aaron Eckhart
Action,Michael Caine
Action,Ben Affleck
Action,Henry Cavill
Action,Amy Adams
Action,Jesse Eisenberg
Action,Colin Firth
Action,Taron Egerton
Action,Samuel L. Jackson
Action,Michael Caine
Action,Tom Hardy
Action,Charlize Theron
Action,Nicholas Hoult
Action,Zo�� Kravitz
Action,Mark Wahlberg
Action,Kurt Russell
Action,Douglas M. Griffin
Action,James DuMont
Action,Brad Pitt
Action,Marion Cotillard
Action,Jared Harris
Action,Vincent Ebrahim
Action,Johnny Depp
Action,Orlando Bloom
Action,Keira Knightley
Action,Geoffrey Rush
Action,Robert Downey Jr.
Action,Chris Evans
Action,Scarlett Johansson
Action,Jeremy Renner
Action,Johnny Depp
Action,Orlando Bloom
Action,Keira Knightley
Action,Jack Davenport
Action,Melissa McCarthy
Action,Kristen Wiig
Action,Kate McKinnon
Action,Leslie Jones
Action,Leonardo DiCaprio
Action,Joseph Gordon-Levitt
Action,Ellen Page
Action,Ken Watanabe
Action,Vin Diesel
Action,Paul Walker
Action,Dwayne Johnson
Action,Jason Statham
Action,Chris Pratt
Action,Bryce Dallas Howard
Action,Ty Simpkins
Action,Judy Greer
Action,Sam Worthington
Action,Zoe Saldana
Action,Sigourney Weaver
Action,Michelle Rodriguez
Action,Ben Affleck
Action,Anna Kendrick
Action,J.K. Simmons
Action,Jon Bernthal
Action,Travis Fimmel
Action,Paula Patton
Action,Ben Foster
Action,Dominic Cooper
Action,Robert Downey Jr.
Action,Chris Evans
Action,Mark Ruffalo
Action,Chris Hemsworth
Action,Russell Crowe
Action,Ryan Gosling
Action,Angourie Rice
Action,Matt Bomer
Action,Chris Hemsworth
Action,Anthony Hopkins
Action,Natalie Portman
Action,Tom Hiddleston
Action,Henry Cavill
Action,Armie Hammer
Action,Alicia Vikander
Action,Elizabeth Debicki
Action,Alexander Skarsg̴rd
Action,Rory J. Saper
Action,Christian Stevens
Action,Christoph Waltz
Action,John Gallagher Jr.
Action,Tony Goldwyn
Action,Adria Arjona
Action,John C. McGinley
Action,Gerard Butler
Action,Lena Headey
Action,David Wenham
Action,Dominic West
Action,Aamir Khan
Action,Sakshi Tanwar
Action,Fatima Sana Shaikh
Action,Sanya Malhotra
Action,Scott Adkins
Action,Teodora Duhovnikova
Action,Alon Aboutboul
Action,Julian Vergov
Action,Christian Bale
Action,Tom Hardy
Action,Anne Hathaway
Action,Gary Oldman
Action,Mark Wahlberg
Action,Nicola Peltz
Action,Jack Reynor
Action,Stanley Tucci
Action,Vin Diesel
Action,Paul Walker
Action,Dwayne Johnson
Action,Michelle Rodriguez
Action,Chris Pine
Action,Zachary Quinto
Action,Simon Pegg
Action,Leonard Nimoy
Action,Jackie Earle Haley
Action,Patrick Wilson
Action,Carla Gugino
Action,Malin Akerman
Action,Tom Hanks
Action,Felicity Jones
Action,Irrfan Khan
Action,Ben Foster
Action,Emily Blunt
Action,Josh Brolin
Action,Benicio Del Toro
Action,Jon Bernthal
Action,Reiko Aylesworth
Action,Steven Pasquale
Action,Shareeka Epps
Action,John Ortiz
Action,Idris Elba
Action,Charlie Hunnam
Action,Rinko Kikuchi
Action,Charlie Day
Action,Michael Cera
Action,Mary Elizabeth Winstead
Action,Kieran Culkin
Action,Alison Pill
Action,Simon Pegg
Action,Nick Frost
Action,Martin Freeman
Action,Bill Nighy
Action,Sharlto Copley
Action,Brie Larson
Action,Armie Hammer
Action,Cillian Murphy
Action,Patrick Stewart
Action,Ian McKellen
Action,Hugh Jackman
Action,James McAvoy
Action,Tom Cruise
Action,Cobie Smulders
Action,Aldis Hodge
Action,Robert Knepper
Action,Daniel Craig
Action,Eva Green
Action,Judi Dench
Action,Jeffrey Wright
Action,Jesse Eisenberg
Action,Mark Ruffalo
Action,Woody Harrelson
Action,Dave Franco
Action,John Krasinski
Action,Pablo Schreiber
Action,James Badge Dale
Action,David Denman
Action,Daniel Craig
Action,Christoph Waltz
Action,L̩a Seydoux
Action,Ralph Fiennes
Action,George Clooney
Action,Britt Robertson
Action,Hugh Laurie
Action,Raffey Cassidy
Action,Gary Oldman
Action,Keri Russell
Action,Andy Serkis
Action,Kodi Smit-McPhee
Action,Ben Stiller
Action,Jack Black
Action,Robert Downey Jr.
Action,Jeff Kahn
Action,Paul Rudd
Action,Michael Douglas
Action,Corey Stoll
Action,Evangeline Lilly
Action,Tom Hardy
Action,Nick Nolte
Action,Joel Edgerton
Action,Jennifer Morrison
Action,Chris Evans
Action,Hugo Weaving
Action,Samuel L. Jackson
Action,Hayley Atwell
Action,Dwayne Johnson
Action,Kevin Hart
Action,Danielle Nicolet
Action,Amy Ryan
Action,Tom Cruise
Action,Emily Blunt
Action,Bill Paxton
Action,Brendan Gleeson
Action,Robert Downey Jr.
Action,Gwyneth Paltrow
Action,Terrence Howard
Action,Jeff Bridges
Action,Shailene Woodley
Action,Theo James
Action,Jeff Daniels
Action,Naomi Watts
Action,James McAvoy
Action,Michael Fassbender
Action,Jennifer Lawrence
Action,Kevin Bacon
Action,Dwayne Johnson
Action,Carla Gugino
Action,Alexandra Daddario
Action,Colton Haynes
Action,Shia LaBeouf
Action,Megan Fox
Action,Josh Duhamel
Action,Tyrese Gibson
Action,Josh Brolin
Action,Elizabeth Olsen
Action,Samuel L. Jackson
Action,Sharlto Copley
Action,Chris Hemsworth
Action,Natalie Portman
Action,Tom Hiddleston
Action,Stellan Skarsg̴rd
Action,Brenton Thwaites
Action,Nikolaj Coster-Waldau
Action,Gerard Butler
Action,Chadwick Boseman
Action,Chris Evans
Action,Samuel L. Jackson
Action,Scarlett Johansson
Action,Robert Redford
Action,Lucas Till
Action,Jane Levy
Action,Thomas Lennon
Action,Barry Pepper
Action,Aaron Taylor-Johnson
Action,Nicolas Cage
Action,Chlo�� Grace Moretz
Action,Garrett M. Brown
Action,Sharlto Copley
Action,Tim Roth
Action,Haley Bennett
