Source,Target
Chris Pratt,Vin Diesel
Chris Pratt,Bradley Cooper
Chris Pratt,Zoe Saldana
Chris Pratt,Bryce Dallas Howard
Chris Pratt,Ty Simpkins
Chris Pratt,Judy Greer
Chris Pratt,Will Ferrell
Chris Pratt,Elizabeth Banks
Chris Pratt,Will Arnett
Chris Pratt,Mark Strong
Chris Pratt,Jenna Dewan Tatum
Vin Diesel,Bradley Cooper
Vin Diesel,Zoe Saldana
Vin Diesel,Paul Walker
Vin Diesel,Dwayne Johnson
Vin Diesel,Jason Statham
Vin Diesel,Paul Walker
Vin Diesel,Dwayne Johnson
Vin Diesel,Michelle Rodriguez
Vin Diesel,Paul Walker
Vin Diesel,Dwayne Johnson
Vin Diesel,Jordana Brewster
Vin Diesel,Rose Leslie
Vin Diesel,Elijah Wood
Vin Diesel,��lafur Darri ��lafsson
Vin Diesel,Paul Walker
Vin Diesel,Michelle Rodriguez
Vin Diesel,Jordana Brewster
Vin Diesel,Karl Urban
Vin Diesel,Katee Sackhoff
Vin Diesel,Jordi Moll��
Bradley Cooper,Zoe Saldana
Bradley Cooper,Eva Mendes
Bradley Cooper,Craig Van Hook
Bradley Cooper,Justin Bartha
Bradley Cooper,Ed Helms
Bradley Cooper,Sienna Miller
Bradley Cooper,Kyle Gallner
Bradley Cooper,Cole Konis
Bradley Cooper,Jennifer Lawrence
Bradley Cooper,Robert De Niro
Bradley Cooper,Jacki Weaver
Bradley Cooper,Jennifer Lawrence
Bradley Cooper,Jennifer Lawrence
Bradley Cooper,Robert De Niro
Bradley Cooper,Edgar Ram�_rez
Bradley Cooper,Anna Friel
Bradley Cooper,Abbie Cornish
Bradley Cooper,Robert De Niro
Bradley Cooper,Sienna Miller
Bradley Cooper,Daniel Br�_hl
Bradley Cooper,Riccardo Scamarcio
Bradley Cooper,Sharlto Copley
Bradley Cooper,Jessica Biel
Bradley Cooper,Leslie Bibb
Bradley Cooper,Brooke Shields
Zoe Saldana,Sigourney Weaver
Zoe Saldana,Michelle Rodriguez
Zoe Saldana,Benedict Cumberbatch
Zoe Saldana,Channing Tatum
Zoe Saldana,Ron Perlman
Zoe Saldana,Woody Harrelson
Noomi Rapace,Logan Marshall-Green
Noomi Rapace,Michael Fassbender
Noomi Rapace,Charlize Theron
Noomi Rapace,Ewa Fr̦ling
Noomi Rapace,Lena Endre
Noomi Rapace,James Gandolfini
Noomi Rapace,Matthias Schoenaerts
Noomi Rapace,Joel Kinnaman
Logan Marshall-Green,Michael Fassbender
Logan Marshall-Green,Charlize Theron
Logan Marshall-Green,Emayatzy Corinealdi
Logan Marshall-Green,Michiel Huisman
Logan Marshall-Green,Tammy Blanchard
Michael Fassbender,Charlize Theron
Michael Fassbender,Brad Pitt
Michael Fassbender,Jennifer Lawrence
Michael Fassbender,Kevin Bacon
Michael Fassbender,Kate Winslet
Michael Fassbender,Seth Rogen
