Source,Target
(500) Days of Summer,Zooey Deschanel
(500) Days of Summer,Joseph Gordon-Levitt
(500) Days of Summer,Geoffrey Arend
(500) Days of Summer,Chlo�� Grace Moretz
10 Cloverfield Lane,John Goodman
10 Cloverfield Lane,Mary Elizabeth Winstead
10 Cloverfield Lane,John Gallagher Jr.
10 Cloverfield Lane,Douglas M. Griffin
10 Years,Channing Tatum
10 Years,Rosario Dawson
10 Years,Chris Pratt
10 Years,Jenna Dewan Tatum
12 Years a Slave,Chiwetel Ejiofor
12 Years a Slave,Michael Kenneth Williams
12 Years a Slave,Michael Fassbender
12 Years a Slave,Brad Pitt
127 Hours,James Franco
127 Hours,Amber Tamblyn
127 Hours,Kate Mara
127 Hours,Sean Bott
13 Hours,John Krasinski
13 Hours,Pablo Schreiber
13 Hours,James Badge Dale
13 Hours,David Denman
1408,John Cusack
1408,Samuel L. Jackson
1408,Mary McCormack
1408,Paul Birchard
17 Again,Zac Efron
17 Again,Matthew Perry
17 Again,Leslie Mann
17 Again,Thomas Lennon
2012,John Cusack
2012,Thandie Newton
2012,Chiwetel Ejiofor
2012,Amanda Peet
20th Century Women,Annette Bening
20th Century Women,Elle Fanning
20th Century Women,Greta Gerwig
20th Century Women,Billy Crudup
21,Jim Sturgess
21,Kate Bosworth
21,Kevin Spacey
21,Aaron Yoo
21 Jump Street,Jonah Hill
21 Jump Street,Channing Tatum
21 Jump Street,Ice Cube
21 Jump Street,Brie Larson
22 Jump Street,Channing Tatum
22 Jump Street,Jonah Hill
22 Jump Street,Ice Cube
22 Jump Street,Nick Offerman
2307: Winter's Dream,Paul Sidhu
2307: Winter's Dream,Branden Coles
2307: Winter's Dream,Arielle Holmes
2307: Winter's Dream,Kelcey Watson
28 Weeks Later,Jeremy Renner
28 Weeks Later,Rose Byrne
28 Weeks Later,Robert Carlyle
28 Weeks Later,Harold Perrineau
3 Days to Kill,Kevin Costner
3 Days to Kill,Hailee Steinfeld
3 Days to Kill,Connie Nielsen
3 Days to Kill,Amber Heard
3 Idiots,Aamir Khan
3 Idiots,Madhavan
3 Idiots,Mona Singh
3 Idiots,Sharman Joshi
300,Gerard Butler
300,Lena Headey
300,David Wenham
300,Dominic West
300: Rise of an Empire,Sullivan Stapleton
300: Rise of an Empire,Eva Green
300: Rise of an Empire,Lena Headey
300: Rise of an Empire,Hans Matheson
31,Malcolm McDowell
31,Richard Brake
31,Jeff Daniel Phillips
31,Sheri Moon Zombie
42,Chadwick Boseman
42,T.R. Knight
42,Harrison Ford
42,Nicole Beharie
5/25/77,John Francis Daley
5/25/77,Austin Pendleton
5/25/77,Colleen Camp
5/25/77,Neil Flynn
50/50,Joseph Gordon-Levitt
50/50,Seth Rogen
50/50,Anna Kendrick
50/50,Bryce Dallas Howard
A Bigger Splash,Tilda Swinton
A Bigger Splash,Matthias Schoenaerts
A Bigger Splash,Ralph Fiennes
A Bigger Splash,Dakota Johnson
A Cure for Wellness,Dane DeHaan
A Cure for Wellness,Jason Isaacs
A Cure for Wellness,Mia Goth
A Cure for Wellness,Ivo Nandi
A Dark Song,Mark Huberman
A Dark Song,Susan Loughnane
A Dark Song,Steve Oram
A Dark Song,Catherine Walker
A Good Year,Russell Crowe
A Good Year,Abbie Cornish
A Good Year,Albert Finney
A Good Year,Marion Cotillard
A Hologram for the King,Tom Hanks
A Hologram for the King,Sarita Choudhury
A Hologram for the King,Ben Whishaw
A Hologram for the King,Alexander Black
A Kind of Murder,Patrick Wilson
A Kind of Murder,Jessica Biel
A Kind of Murder,Haley Bennett
A Kind of Murder,Vincent Kartheiser
A Million Ways to Die in the West,Seth MacFarlane
A Million Ways to Die in the West,Charlize Theron
A Million Ways to Die in the West,Liam Neeson
A Million Ways to Die in the West,Amanda Seyfried
A Monster Calls,Lewis MacDougall
A Monster Calls,Sigourney Weaver
A Monster Calls,Felicity Jones
A Monster Calls,Toby Kebbell
A Quiet Passion,Cynthia Nixon
A Quiet Passion,Jennifer Ehle
A Quiet Passion,Duncan Duff
A Quiet Passion,Keith Carradine
A Street Cat Named Bob,Luke Treadaway
A Street Cat Named Bob,Bob the Cat
A Street Cat Named Bob,Ruta Gedmintas
A Street Cat Named Bob,Joanne Froggatt
A United Kingdom,David Oyelowo
A United Kingdom,Rosamund Pike
A United Kingdom,Tom Felton
A United Kingdom,Jack Davenport
A Walk Among the Tombstones,Liam Neeson
A Walk Among the Tombstones,Dan Stevens
A Walk Among the Tombstones,David Harbour
A Walk Among the Tombstones,Boyd Holbrook
About Time,Domhnall Gleeson
About Time,Rachel McAdams
About Time,Bill Nighy
About Time,Lydia Wilson
Absolutely Anything,Simon Pegg
Absolutely Anything,Kate Beckinsale
Absolutely Anything,Sanjeev Bhaskar
Absolutely Anything,Rob Riggle
Across the Universe,Evan Rachel Wood
Across the Universe,Jim Sturgess
Across the Universe,Joe Anderson
Across the Universe,Dana Fuchs
Adoration,Naomi Watts
Adoration,Robin Wright
Adoration,Xavier Samuel
Adoration,James Frecheville
After Earth,Jaden Smith
After Earth,David Denman
After Earth,Will Smith
After Earth,Sophie Okonedo
Ah-ga-ssi,Min-hee Kim
Ah-ga-ssi,Jung-woo Ha
Ah-ga-ssi,Jin-woong Jo
Ah-ga-ssi,So-ri Moon
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",Steve Carell
